dataset,column,leakage_category,classification,reason,prediction_time_availability,recommended_action
ifi_event_clean.csv,longitude,UNKNOWN / REQUIRES VERIFICATION,UNKNOWN / REQUIRES VERIFICATION,The coordinate field is entirely missing; no availability or event-timing assessment is possible.,Unknown; entirely missing,Do not use until populated and provenance is verified.
ifi_event_clean.csv,severity,TARGET LEAKAGE,LEAKAGE,The source field is explicitly named severity and is 100% missing in the current inventory.,Timing and definition unknown; outcome-like,Do not use as a feature; investigate only as a possible target source.
ifi_event_clean.csv,area_affected,POST-EVENT INFORMATION,LEAKAGE,Affected area is an event impact measurement and is 100% missing in the current inventory.,During/after event,Exclude from predictive features; possible target component only after verification.
ifi_event_clean.csv,human_fatality,POST-EVENT INFORMATION,LEAKAGE,Fatality counts describe consequences of a flood; district aggregates may summarize the same events.,During/after event,Exclude from predictive features; possible impact target component.
ifi_event_clean.csv,human_injured,POST-EVENT INFORMATION,LEAKAGE,Injury counts describe consequences of a flood; district aggregates may summarize the same events.,During/after event,Exclude from predictive features; possible impact target component.
ifi_event_clean.csv,human_displaced,POST-EVENT INFORMATION,LEAKAGE,Displacement is a consequence of the event and its representation is source-dependent.,During/after event,Exclude from predictive features; possible impact target component after verification.
ifi_event_clean.csv,animal_fatality,POST-EVENT INFORMATION,LEAKAGE,Animal fatalities are post-event consequences.,During/after event,Exclude from predictive features; possible impact target component after verification.
ifi_event_clean.csv,description_of_casualties_injured,POST-EVENT INFORMATION,LEAKAGE,The field is a casualty/injury description and can directly reveal the outcome.,During/after event,Exclude from predictive features.
ifi_event_clean.csv,extent_of_damage,POST-EVENT INFORMATION,LEAKAGE,Damage extent is a post-event impact description.,During/after event,Exclude from predictive features; possible target evidence only after coding rules are defined.
ifi_event_clean.csv,event_source,DATASET / IDENTIFIER LEAKAGE,CAUTION,Source metadata is not a physical predictor and may encode collection or event-selection process.,Likely assigned during data collection,Exclude from predictive features unless a pre-event source is established.
ifi_event_clean.csv,event_souce_id,IDENTIFIER LEAKAGE,CAUTION,Identifier-like source field; currently entirely missing and its semantics are unverified.,Unknown; currently missing,Exclude from features; retain for provenance if populated later.
ifi_event_clean.csv,district_lgd_codes,IDENTIFIER / SPATIAL LEAKAGE,CAUTION,Geographic codes can support grouping or joins but are not confirmed as LGD codes and are stored as multi-value event fields.,Geography may be known pre-event; semantics unverified,Exclude raw code strings from features until a verified forecast-unit policy exists.
ifi_event_clean.csv,state_codes,IDENTIFIER / SPATIAL LEAKAGE,CAUTION,"State codes are geographic identifiers, not measurements; source semantics and timing require verification.",Geography may be known pre-event; semantics unverified,Exclude raw code strings from features until verified.
district_flood_impact_clean.csv,dist_name,SPATIAL / AGGREGATE LEAKAGE,CAUTION,"District name identifies the geographic unit, but the aggregate table has no time period and cannot be safely aligned to an event.",Geography available; aggregate reference time unknown,"Use only as a grouping/join key, not as an unrestricted feature."
district_flood_impact_clean.csv,human_fatality,POST-EVENT INFORMATION,LEAKAGE,Fatality counts describe consequences of a flood; district aggregates may summarize the same events.,During/after event,Exclude from predictive features; possible impact target component.
district_flood_impact_clean.csv,human_injured,POST-EVENT INFORMATION,LEAKAGE,Injury counts describe consequences of a flood; district aggregates may summarize the same events.,During/after event,Exclude from predictive features; possible impact target component.
district_flood_impact_clean.csv,population,TEMPORAL / SPATIAL,CAUTION,"Population could be a baseline covariate, but its reference year and provenance are undocumented.",Potentially pre-event; reference period unknown,Verify vintage and keep fixed relative to the prediction timestamp.
district_flood_impact_clean.csv,mean_flood_duration,AGGREGATE LEAKAGE,LEAKAGE,A district mean flood duration is an aggregate outcome-like measure with no documented reference period.,Reference period unknown; likely after event,Exclude until provenance and forecast timing are verified.
district_flooded_area_clean.csv,dist_name,SPATIAL / AGGREGATE LEAKAGE,CAUTION,"District name identifies the geographic unit, but the aggregate table has no time period and cannot be safely aligned to an event.",Geography available; aggregate reference time unknown,"Use only as a grouping/join key, not as an unrestricted feature."
district_flooded_area_clean.csv,percent_flooded_area,AGGREGATE LEAKAGE,LEAKAGE,Flooded area is a direct impact measurement and may summarize the events being predicted.,During/after event; reference period unknown,Exclude from predictive features; possible target component after temporal definition.
district_flooded_area_clean.csv,parmanent_water,TEMPORAL / SPATIAL,CAUTION,"Permanent-water coverage may be a baseline geographic feature, but units, vintage, and derivation are undocumented.",Potentially pre-event; reference period unknown,Verify source vintage and ensure it excludes event-period observations.
district_flooded_area_clean.csv,corrected_percent_flooded_area,AGGREGATE LEAKAGE,LEAKAGE,Corrected flooded area remains an impact measurement; correction does not remove temporal leakage risk.,During/after event; reference period unknown,Exclude from predictive features; possible target component after temporal definition.
