uei,district,state,start_date,end_date,duration_days,raw_start_date,raw_end_date,raw_duration_days,classification,evidence,recommended_action,confidence,notes
UEI-IMD-FL-1978-0003,Kamrup,Assam,1978-06-08,1978-06-14,7.0,08-06-1978 00:00,14-06-1978 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1978-06-08, end=1978-06-14; raw DD-first parse: start=1978-06-08, end=1978-06-14."
UEI-IMD-FL-1978-0041,"Jalgaon, Satara",Maharashtra,1978-03-08,1978-03-14,7.0,08-03-1978 00:00,14-03-1978 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1978-03-08, end=1978-03-14; raw DD-first parse: start=1978-03-08, end=1978-03-14."
UEI-IMD-FL-1978-0042,"Beed, Mumbai",Maharashtra,1978-06-08,1978-06-14,7.0,08-06-1978 00:00,14-06-1978 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1978-06-08, end=1978-06-14; raw DD-first parse: start=1978-06-08, end=1978-06-14."
UEI-IMD-FL-1978-0044,Mumbai,Maharashtra,1978-07-08,1978-07-14,7.0,08-07-1978 00:00,14-07-1978 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1978-07-08, end=1978-07-14; raw DD-first parse: start=1978-07-08, end=1978-07-14."
UEI-IMD-FL-1979-0011,Jammu,Jammu and Kashmir,1979-07-08,1979-07-14,7.0,08-07-1979 00:00,14-07-1979 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1979-07-08, end=1979-07-14; raw DD-first parse: start=1979-07-08, end=1979-07-14."
UEI-IMD-FL-1979-0021,Alappuzha,Kerala,1979-06-10,1979-06-19,10.0,10-06-1979 00:00,19-06-1979 00:00,10,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1979-06-10, end=1979-06-19; raw DD-first parse: start=1979-06-10, end=1979-06-19."
UEI-IMD-FL-1979-0044,"Ajmer, Bhilwara, Bundi, Jalore, Jodhpur, Kota, Nagpur, Pali, Sawai Madhopur, Sikar, Tonk",Rajasthan,1979-07-08,1979-07-21,14.0,08-07-1979 00:00,21-07-1979 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1979-07-08, end=1979-07-21; raw DD-first parse: start=1979-07-08, end=1979-07-21."
UEI-IMD-FL-1979-0048,Chennai,Tamil Nadu,1979-05-12,1979-11-13,186.0,12-05-1979 00:00,13-11-1979 00:00,186,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1979-05-12, end=1979-11-13; raw DD-first parse: start=1979-05-12, end=1979-11-13."
UEI-IMD-FL-1979-0056,Tirunelveli,Tamil Nadu,1979-11-12,1979-11-18,7.0,12-11-1979 00:00,18-11-1979 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1979-11-12, end=1979-11-18; raw DD-first parse: start=1979-11-12, end=1979-11-18."
UEI-IMD-FL-1979-0058,"Azamgarh, Bahraich, Ballia, Bara Banki, Basti, Chamoli, Dehradun, Deoria, Ayodhya, Gonda, Gorakhpur, Kheri, Sitapur","Uttar Pradesh, Uttarakhand",1979-07-08,1979-07-28,21.0,08-07-1979 00:00,28-07-1979 00:00,21,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1979-07-08, end=1979-07-28; raw DD-first parse: start=1979-07-08, end=1979-07-28."
UEI-IMD-FL-1980-0003,"Darrang, Sivasagar",Assam,1980-06-08,1980-06-21,14.0,08-06-1980 00:00,21-06-1980 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-06-08, end=1980-06-21; raw DD-first parse: start=1980-06-08, end=1980-06-21."
UEI-IMD-FL-1980-0010,"Ambala, Jind, Karnal, Kurukshetra, Sonipat",Haryana,1980-07-08,1980-07-28,21.0,08-07-1980 00:00,28-07-1980 00:00,21,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-28; raw DD-first parse: start=1980-07-08, end=1980-07-28."
UEI-IMD-FL-1980-0012,New New Delhi,Delhi,1980-07-08,1980-07-28,21.0,08-07-1980 00:00,28-07-1980 00:00,21,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-28; raw DD-first parse: start=1980-07-08, end=1980-07-28."
UEI-IMD-FL-1980-0013,Chandigarh,Chandigarh,1980-07-08,1980-07-21,14.0,08-07-1980 00:00,21-07-1980 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-21; raw DD-first parse: start=1980-07-08, end=1980-07-21."
UEI-IMD-FL-1980-0015,Jammu,Jammu and Kashmir,1980-07-08,1980-07-14,7.0,08-07-1980 00:00,14-07-1980 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-14; raw DD-first parse: start=1980-07-08, end=1980-07-14."
UEI-IMD-FL-1980-0048,"Gurdaspur, Hoshiarpur, Kapurthala, Ludhiana, Patiala",Punjab,1980-07-08,1980-07-21,14.0,08-07-1980 00:00,21-07-1980 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-21; raw DD-first parse: start=1980-07-08, end=1980-07-21."
UEI-IMD-FL-1980-0050,Alwar,Rajasthan,1980-07-08,1980-07-21,14.0,08-07-1980 00:00,21-07-1980 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-21; raw DD-first parse: start=1980-07-08, end=1980-07-21."
UEI-IMD-FL-1980-0057,"Chamoli, Tehri Garhwal, Uttar Kashi Kashi, Ballia, Pratapgarh, Dehradun","Uttar Pradesh, Uttarakhand",1980-07-08,1980-07-14,7.0,08-07-1980 00:00,14-07-1980 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1980-07-08, end=1980-07-14; raw DD-first parse: start=1980-07-08, end=1980-07-14."
UEI-IMD-FL-1981-0009,"Saharsa, Purnia, Katihar, Madhubani, Purbi Champaran",Bihar,1981-07-08,1981-07-28,21.0,08-07-1981 00:00,28-07-1981 00:00,21,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1981-07-08, end=1981-07-28; raw DD-first parse: start=1981-07-08, end=1981-07-28."
UEI-IMD-FL-1981-0010,New Delhi,Delhi,1981-06-30,1981-07-01,2.0,30-06-1981 00:00,01-07-1981 00:00,2,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1981-06-30, end=1981-07-01; raw DD-first parse: start=1981-06-30, end=1981-07-01."
UEI-IMD-FL-1981-0014,"Jamnagar, Valsad, Surendranagar, Rajkot",Gujarat,1981-07-08,1981-07-14,7.0,08-07-1981 00:00,14-07-1981 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1981-07-08, end=1981-07-14; raw DD-first parse: start=1981-07-08, end=1981-07-14."
UEI-IMD-FL-1981-0037,Chhindwara,Madhya Pradesh,1981-07-08,1981-07-14,7.0,08-07-1981 00:00,14-07-1981 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1981-07-08, end=1981-07-14; raw DD-first parse: start=1981-07-08, end=1981-07-14."
UEI-IMD-FL-1981-0068,"Ludhiana, Patiala, Jalandhar",Punjab,1981-01-08,1981-01-14,7.0,08-01-1981 00:00,14-01-1981 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1981-01-08, end=1981-01-14; raw DD-first parse: start=1981-01-08, end=1981-01-14."
UEI-IMD-FL-1982-0021,Kannur,Kerala,1982-07-30,1982-08-04,6.0,30-07-1982 00:00,04-08-1982 00:00,6,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1982-07-30, end=1982-08-04; raw DD-first parse: start=1982-07-30, end=1982-08-04."
UEI-IMD-FL-1982-0053,"Bahraich, Gonda, Basti, Gorakhpur, Deoria, Ballia, Azamgarh, Ayodhya, Sultanpur, Jaunpur, Ghazipurr, Varanasi, Mirzapur, Prayagraj, Almora, Pithoragarh, Shahjahanpur, Gautam Buddha Nagar, Ghaziabad, Hapur, Baghpat, Muzaffarnagar, Shamli, Rampur, Amroha, Sambhal, Bareilly, Pilibhit, Shahjahanpur, Agra, Firozabad, Mainpuri, Mathura, Etah, Hathras, Kasganj, Etawah, Auraiya, Farrukhabad","Uttar Pradesh, Uttarakhand",1982-08-22,1982-09-07,17.0,22-08-1982 00:00,07-09-1982 00:00,17,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1982-08-22, end=1982-09-07; raw DD-first parse: start=1982-08-22, end=1982-09-07."
UEI-IMD-FL-1983-0012,"Cachar, Sivasagar",Assam,1983-05-08,1983-05-23,16.0,08-05-1983 00:00,23-05-1983 00:00,16,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1983-05-08, end=1983-05-23; raw DD-first parse: start=1983-05-08, end=1983-05-23."
UEI-IMD-FL-1983-0018,Purnia,Bihar,1983-07-08,1983-07-14,7.0,08-07-1983 00:00,14-07-1983 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1983-07-08, end=1983-07-14; raw DD-first parse: start=1983-07-08, end=1983-07-14."
UEI-IMD-FL-1983-0036,Rajouri,Jammu and Kashmir,1983-10-12,1983-10-16,5.0,12-10-1983 00:00,16-10-1983 00:00,5,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1983-10-12, end=1983-10-16; raw DD-first parse: start=1983-10-12, end=1983-10-16."
UEI-IMD-FL-1983-0047,Ernakulam,Kerala,1983-08-10,1983-08-17,8.0,10-08-1983 00:00,17-08-1983 00:00,8,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1983-08-10, end=1983-08-17; raw DD-first parse: start=1983-08-10, end=1983-08-17."
UEI-IMD-FL-1983-0062,"Aurangabad, Dharashiv, Jalna, Beed, Latur, Nanded, Hingoli, Parbhani, Solapur, Amravati, Akola, Bhandara, Buldhana, Chandrapur, Gadchiroli, Gondia, Nagpur, Wardha, Washim, Yavatmal",Maharashtra,1983-08-11,1983-08-17,7.0,11-08-1983 00:00,17-08-1983 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1983-08-11, end=1983-08-17; raw DD-first parse: start=1983-08-11, end=1983-08-17."
UEI-IMD-FL-1983-0086,"Gangtok, Mangan",Sikkim,1983-09-12,1983-09-13,2.0,12-09-1983 00:00,13-09-1983 00:00,2,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1983-09-12, end=1983-09-13; raw DD-first parse: start=1983-09-12, end=1983-09-13."
