ifi_district_name,ifi_state_context,lgd_state_code,lgd_state_name,lgd_district_code,lgd_district_name,census_2001_code,census_2011_code,census_boundary_district_name,census_boundary_state,censuscode,match_method,verification_status,historical_limitation,notes_reason
Agra,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,118,Agra,15,146,Agra,Uttar Pradesh,146,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ahmedabad,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,438,Ahmedabad,7,474,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Ahmednagar,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Aizawl,Mizoram,15,Mizoram,261,Aizawl,3,283,Aizawl,Mizoram,283,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ajmer,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8,Rajasthan,86,Ajmer,21,119,Ajmer,Rajasthan,119,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Akharpur,Uttar Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Akola,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27,Maharashtra,467,Akola,5,501,Akola,Maharashtra,501,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Alappuzha,Bihar; Haryana; Karnataka; Kerala; Rajasthan; Uttar Pradesh,32,Kerala,554,Alappuzha,11,598,Alappuzha,Kerala,598,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Aligarh,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,119,Aligarh,12,143,Aligarh,Uttar Pradesh,143,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Alirajpur,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,639,Alirajpur,24,465,Alirajpur,Madhya Pradesh,465,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Almora,Uttar Pradesh; Uttarakhand,5,Uttarakhand,45,Almora,9,64,Almora,Uttarakhand,64,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Alwar,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8,Rajasthan,87,Alwar,6,104,Alwar,Rajasthan,104,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ambala,Bihar; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,6,Haryana,58,Ambala,2,70,Ambala,Haryana,70,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ambedkar Nagar,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9,Uttar Pradesh,121,Ambedkar Nagar,48,178,Ambedkar Nagar,Uttar Pradesh,178,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Amethi,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9,Uttar Pradesh,640,Amethi,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Amravati,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27,Maharashtra,468,Amravati,7,503,Amravati,Maharashtra,503,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Amreli,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,439,Amreli,13,480,Amreli,Gujarat,480,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Amritsar,Arunachal Pradesh; Assam; Delhi; Haryana; Jammu and Kashmir; Madhya Pradesh; Punjab; Rajasthan; Uttar Pradesh; West Bengal,3,Punjab,27,Amritsar,2,49,Amritsar,Punjab,49,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Amroha,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,154,Amroha,6,137,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Anand,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,440,Anand,15,482,Anand,Gujarat,482,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ananthapuramu,Andhra Pradesh,28,Andhra Pradesh,502,Ananthapuramu,22,553,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Ananthapuramuamu,Andhra Pradesh; Madhya Pradesh; Punjab,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Anantnag,Arunachal Pradesh; Assam; Delhi; Jammu & Kashmir; Jammu and Kashmir; Punjab; Uttar Pradesh,1,Jammu And Kashmir,1,Anantnag,6,14,Anantnag,Jammu & Kashmir,14,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context does not uniquely confirm LGD state name; manual review required. LGD/Census candidate by name; codes are not assumed equivalent.
Anjaw,Arunachal Pradesh; Assam; Jammu and Kashmir; Punjab; Uttar Pradesh,12,Arunachal Pradesh,628,Anjaw,0,260,Anjaw,Arunanchal Pradesh,260,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Anugul,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Anuppur,Andhra Pradesh; Bihar; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,390,Anuppur,16,461,Anuppur,Madhya Pradesh,461,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Araria,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Jharkhand; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,10,Bihar,188,Araria,7,209,Araria,Bihar,209,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ariyalur,Tamil Nadu,33,Tamil Nadu,610,Ariyalur,17,616,Ariyalur,Tamil Nadu,616,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Arvalli,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,672,Arvalli,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Arwal,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,10,Bihar,611,Arwal,33,240,Arwal,Bihar,240,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ashoknagar,Andhra Pradesh; Bihar; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,391,Ashoknagar,46,459,Ashoknagar,Madhya Pradesh,459,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Auraiya,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,122,Auraiya,32,162,Auraiya,Uttar Pradesh,162,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Aurangabad,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Telangana; Uttar Pradesh; Uttar pradesh; West Bengal,10,Bihar,189,Aurangabad,34,235,Aurangabad,Bihar,235,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ayodhya,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,140,Ayodhya,47,177,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Azamgarh,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,123,Azamgarh,61,191,Azamgarh,Uttar Pradesh,191,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Bagalkote,Karnataka,29,Karnataka,524,Bagalkote,2,556,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Bagalkotee,Karnataka; Kerala,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Bagalkotee Ballari,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Bagalkotee Belagavi,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Bagalkotee Bengaluru Urban,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Bagalkotee Udupi,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
BagalkoteeBijapur,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Bageshwar,Uttar Pradesh; Uttarakhand,5,Uttarakhand,46,Bageshwar,8,63,Bageshwar,Uttarakhand,63,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Baghpat,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,124,Baghpat,8,139,Baghpat,Uttar Pradesh,139,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Bahraich,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,125,Bahraich,50,180,Bahraich,Uttar Pradesh,180,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Baksa,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,616,Baksa,0,324,Baksa,Assam,324,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Balaghat,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,392,Balaghat,45,457,Balaghat,Madhya Pradesh,457,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Balangir,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,21,Odisha,345,Balangir,24,393,Balangir,Odisha,393,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Baleshwar,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,21,Odisha,346,Baleshwar,8,377,Baleshwar,Odisha,377,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Ballari,Karnataka; Kerala,29,Karnataka,528,Ballari,12,565,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Ballia,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,126,Ballia,63,193,Ballia,Uttar Pradesh,193,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Balod,Chhattisgarh,22,Chhattisgarh,646,Balod,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Balodabazar-Bhatapara,Chhattisgarh,22,Chhattisgarh,644,Balodabazar-Bhatapara,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Balrampur,Arunachal Pradesh; Assam; Bihar; Chhattisgarh; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9,Uttar Pradesh,127,Balrampur,52,182,Balrampur,Uttar Pradesh,182,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Banas Kantha,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,441,Banas Kantha,2,469,Banas Kantha,Gujarat,469,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
